Zeit,I1max,I2max,I3max
17.08.2017 15:10,9.37359,9.16562,11.4453
17.08.2017 15:20,8.68499,4.02155,7.8102
17.08.2017 15:30,10.5543,9.3011,11.5551
17.08.2017 15:40,11.92,10.4344,16.6217
17.08.2017 15:50,10.5667,11.5146,13.5584
17.08.2017 16:00,9.45688,11.1888,11.5945
17.08.2017 16:10,3.67212,12.6951,12.6922
17.08.2017 16:20,11.7059,10.6568,11.4028
17.08.2017 16:30,4.44582,13.4708,10.3135
17.08.2017 16:40,2.00948,11.2889,15.9369
17.08.2017 16:50,6.36377,10.5651,11.3278
17.08.2017 17:00,9.33193,9.37462,10.8214
17.08.2017 17:10,12.7479,11.1854,15.3348
17.08.2017 17:20,12.1869,12.1349,19.8809
17.08.2017 17:30,12.5986,7.24755,12.1256
17.08.2017 17:40,13.9036,10.436,21.2794
17.08.2017 17:50,12.8288,9.81981,9.70247
17.08.2017 18:00,10.4184,4.5402,11.0121
17.08.2017 18:10,8.17959,10.4279,8.48996
17.08.2017 18:20,8.89811,19.2781,19.325
17.08.2017 18:30,12.3219,16.0105,15.7763
17.08.2017 18:40,12.8234,13.7597,20.1145
17.08.2017 18:50,25.7646,10.1648,12.2812
17.08.2017 19:00,12.4015,11.5804,18.5324
17.08.2017 19:10,24.3067,11.2214,13.1881
17.08.2017 19:20,14.4182,9.09747,13.7887
17.08.2017 19:30,8.93385,10.484,17.2011
17.08.2017 19:40,14.0553,12.581,15.9697
17.08.2017 19:50,16.6074,8.35774,19.3162
17.08.2017 20:00,16.6056,13.9646,11.3393
17.08.2017 20:10,14.6192,12.4249,14.8874
17.08.2017 20:20,5.65421,11.5425,14.7448
17.08.2017 20:30,13.0118,9.38888,13.1501
17.08.2017 20:40,21.1637,11.191,16.6839
17.08.2017 20:50,13.5264,6.44279,16.8793
17.08.2017 21:00,3.00008,10.6612,12.4808
17.08.2017 21:10,12.6465,10.6658,16.9713
17.08.2017 21:20,14.8514,10.4563,13.5523
17.08.2017 21:30,8.60071,9.17546,15.498
17.08.2017 21:40,8.68399,3.2983,14.2672
17.08.2017 21:50,7.47848,9.4189,13.0955
17.08.2017 22:00,10.9051,9.37976,14.4418
17.08.2017 22:10,5.28549,4.7938,9.99199
17.08.2017 22:20,11.6265,9.78964,11.6459
17.08.2017 22:30,7.50313,9.56217,10.2715
17.08.2017 22:40,5.50751,3.66736,12.7235
17.08.2017 22:50,9.56212,9.67792,13.3236
17.08.2017 23:00,8.69456,3.61202,11.2858
17.08.2017 23:10,7.80097,9.70252,13.1479
17.08.2017 23:20,8.439,10.1163,13.0879
17.08.2017 23:30,12.8986,6.1785,11.6424
17.08.2017 23:40,15.4115,12.5415,17.0685
17.08.2017 23:50,10.5117,10.7538,11.0534
18.08.2017 00:00,5.03096,6.55645,12.2637
18.08.2017 00:10,5.28738,10.5841,9.82832
18.08.2017 00:20,10.4195,6.49365,13.4744
18.08.2017 00:30,11.7557,10.5425,8.53039
18.08.2017 00:40,2.22198,10.7944,13.3937
18.08.2017 00:50,10.8542,7.58811,10.9973
18.08.2017 01:00,9.85476,10.3593,11.5723
18.08.2017 01:10,2.40669,9.72832,11.9107
18.08.2017 01:20,7.21657,3.15142,12.5159
18.08.2017 01:30,9.98231,9.19044,11.5263
18.08.2017 01:40,1.38528,9.29663,8.63004
18.08.2017 01:50,9.47594,5.00127,10.2223
18.08.2017 02:00,10.8272,9.41129,10.6962
18.08.2017 02:10,7.79705,3.24237,8.57704
18.08.2017 02:20,7.03528,9.36255,10.4385
18.08.2017 02:30,9.48236,9.18508,11.4547
18.08.2017 02:40,7.67926,3.07936,11.817
18.08.2017 02:50,7.04381,9.06168,10.7646
18.08.2017 03:00,2.62488,9.28872,10.2639
18.08.2017 03:10,10.7383,3.42007,12.9354
18.08.2017 03:20,10.1167,8.98901,8.30774
18.08.2017 03:30,8.20474,9.20168,9.78041
18.08.2017 03:40,1.96109,3.12422,10.5998
18.08.2017 03:50,6.99442,9.43,8.12401
18.08.2017 04:00,9.47997,3.47271,12.1411
18.08.2017 04:10,1.75863,9.3854,12.3509
18.08.2017 04:20,3.94103,9.52481,12.4344
18.08.2017 04:30,12.9427,10.484,10.7318
18.08.2017 04:40,7.58056,9.27977,7.45824
18.08.2017 04:50,9.72434,9.64396,10.5949
18.08.2017 05:00,8.68227,5.65765,11.4304
18.08.2017 05:10,6.39647,9.39896,6.95722
18.08.2017 05:20,10.0954,9.38548,11.9949
18.08.2017 05:30,9.36127,4.53386,10.6752
18.08.2017 05:40,11.3502,8.97219,16.269
18.08.2017 05:50,8.57669,3.72915,9.54331
18.08.2017 06:00,8.48862,9.19509,11.0339
18.08.2017 06:10,13.0948,10.8532,12.3104
18.08.2017 06:20,11.3766,8.20791,10.5068
18.08.2017 06:30,12.2674,10.6754,16.6546
18.08.2017 06:40,3.79596,9.93551,20.8895
18.08.2017 06:50,17.884,10.3071,13.2631
18.08.2017 07:00,12.1259,10.0202,12.9166
18.08.2017 07:10,7.36905,17.558,11.9806
18.08.2017 07:20,7.67393,11.36,7.6159
18.08.2017 07:30,2.08279,9.15219,9.59529
18.08.2017 07:40,9.84023,18.8072,11.0221
18.08.2017 07:50,13.0543,17.6053,13.5689
18.08.2017 08:00,20.2277,11.5875,15.8145
18.08.2017 08:10,9.71204,5.25573,12.9992
18.08.2017 08:20,3.07663,9.30263,18.0011
18.08.2017 08:30,10.0724,9.17945,12.4731
18.08.2017 08:40,7.50898,3.99419,10.4421
18.08.2017 08:50,8.61207,9.30131,11.969
18.08.2017 09:00,8.09458,9.09914,10.1068
18.08.2017 09:10,6.01037,5.57218,15.935
18.08.2017 09:20,13.219,10.2975,14.4307
18.08.2017 09:30,15.1185,21.0693,14.2976
18.08.2017 09:40,11.036,15.2872,22.3745
18.08.2017 09:50,12.4493,17.8203,12.5233
18.08.2017 10:00,7.71879,11.3035,12.5444
18.08.2017 10:10,3.64721,10.7703,12.1903
18.08.2017 10:20,11.4401,14.0468,16.6532
18.08.2017 10:30,26.5117,16.8348,20.1493
18.08.2017 10:40,11.0688,10.2754,14.2971
18.08.2017 10:50,7.81772,9.39074,10.6805
18.08.2017 11:00,11.9166,10.4153,14.2733
18.08.2017 11:10,7.23349,10.1031,33.9013
18.08.2017 11:20,3.94348,9.03636,26.6786
18.08.2017 11:30,10.1807,10.1422,17.8285
18.08.2017 11:40,12.5691,15.8713,27.7081
18.08.2017 11:50,8.95864,13.4446,18.4299
18.08.2017 12:00,11.0328,10.012,16.8165
18.08.2017 12:10,5.39648,9.65173,11.0462
18.08.2017 12:20,9.93181,3.35584,11.8662
18.08.2017 12:30,1.34328,9.45035,11.0797
18.08.2017 12:40,7.63219,9.72697,7.84294
18.08.2017 12:50,1.87979,4.07691,16.5418
18.08.2017 13:00,10.9341,9.37003,13.3345
18.08.2017 13:10,5.85222,9.24514,16.3523
18.08.2017 13:20,6.34993,12.7063,7.86001
18.08.2017 13:30,10.813,12.0103,14.5815
18.08.2017 13:40,3.94402,11.7244,13.2768
18.08.2017 13:50,11.6204,18.0289,14.501
18.08.2017 14:00,12.7004,18.9024,16.1498
18.08.2017 14:10,13.2505,18.141,14.3255
18.08.2017 14:20,7.19673,15.4854,10.2728
18.08.2017 14:30,10.2856,11.3579,12.8689
18.08.2017 14:40,3.71688,4.91103,8.34886
18.08.2017 14:50,6.20604,9.01539,11.311
18.08.2017 15:00,7.21606,9.31467,11.4463
18.08.2017 15:10,11.8731,10.2414,16.3508
18.08.2017 15:20,12.7471,10.1454,12.317
18.08.2017 15:30,2.35069,2.94531,8.27088
18.08.2017 15:40,12.1597,10.5586,20.6091
18.08.2017 15:50,8.19721,10.819,20.8626
18.08.2017 16:00,4.6593,13.1621,20.5918
18.08.2017 16:10,9.2581,9.51125,8.20312
18.08.2017 16:20,5.41598,9.55585,10.1784
18.08.2017 16:30,12.9658,3.84545,11.8479
18.08.2017 16:40,5.56188,9.45049,11.8119
18.08.2017 16:50,7.2449,7.00009,11.8223
18.08.2017 17:00,9.72943,9.33677,11.5978
18.08.2017 17:10,7.68575,10.4346,7.88454
18.08.2017 17:20,13.4517,10.5864,9.03426
18.08.2017 17:30,12.2368,12.2907,18.403
18.08.2017 17:40,8.52214,9.96934,15.3075
18.08.2017 17:50,12.8417,4.81816,16.2835
18.08.2017 18:00,9.83558,10.3581,13.4002
18.08.2017 18:10,4.57789,10.0442,19.5657
18.08.2017 18:20,10.4707,5.95744,14.0512
18.08.2017 18:30,13.351,11.1314,13.6235
18.08.2017 18:40,12.3235,18.2262,14.473
18.08.2017 18:50,7.2471,18.5978,15.1489
18.08.2017 19:00,11.7894,9.95885,12.55
18.08.2017 19:10,10.4259,5.34054,9.9361
18.08.2017 19:20,13.2509,18.1283,20.8061
18.08.2017 19:30,9.94829,12.633,21.5599
18.08.2017 19:40,15.5386,20.7453,25.7394
18.08.2017 19:50,9.1387,12.2226,11.4906
18.08.2017 20:00,11.0001,10.3099,13.3507
18.08.2017 20:10,23.0052,27.9069,37.6502
18.08.2017 20:20,24.735,23.7313,35.3923
18.08.2017 20:30,12.3906,13.2438,24.3562
18.08.2017 20:40,12.8386,10.828,15.1926
18.08.2017 20:50,12.6017,10.6847,12.9267
18.08.2017 21:00,16.1255,10.5696,19.2488
18.08.2017 21:10,18.2732,20.8771,27.3189
18.08.2017 21:20,12.5535,19.4846,25.6948
18.08.2017 21:30,15.3828,8.73711,13.1894
18.08.2017 21:40,9.05784,9.96085,12.1701
18.08.2017 21:50,14.3633,9.70506,13.8399
18.08.2017 22:00,11.0415,4.54456,13.4476
18.08.2017 22:10,4.7601,9.38561,10.3605
18.08.2017 22:20,9.23573,4.2977,13.0721
18.08.2017 22:30,8.2756,9.23265,11.5747
18.08.2017 22:40,14.1876,10.3572,18.1363
18.08.2017 22:50,14.4382,10.0596,13.5659
18.08.2017 23:00,12.1191,15.8193,20.198
18.08.2017 23:10,16.8522,18.9323,22.3064
18.08.2017 23:20,11.2011,18.4543,22.1881
18.08.2017 23:30,13.2737,15.6178,16.0761
18.08.2017 23:40,8.52262,4.1913,9.14812
18.08.2017 23:50,11.9991,9.52236,12.7115
19.08.2017 00:00,4.96489,9.07469,12.9105
19.08.2017 00:10,5.25277,3.72928,13.1432
19.08.2017 00:20,7.09323,9.11274,8.9813
19.08.2017 00:30,12.5711,10.4421,12.7541
19.08.2017 00:40,2.62022,3.39126,8.13093
19.08.2017 00:50,3.503,9.12387,10.9875
19.08.2017 01:00,12.2369,10.2883,13.7945
19.08.2017 01:10,14.4264,6.20062,12.5275
19.08.2017 01:20,6.64861,9.03227,6.28476
19.08.2017 01:30,9.92014,9.62675,8.74302
19.08.2017 01:40,7.27023,3.18344,9.10508
19.08.2017 01:50,5.91125,9.51896,12.0707
19.08.2017 02:00,9.97528,5.7996,11.2728
19.08.2017 02:10,7.7082,9.5517,7.02676
19.08.2017 02:20,11.4312,9.16901,6.52688
19.08.2017 02:30,3.46218,7.28778,9.98734
19.08.2017 02:40,8.58268,9.41352,10.6933
19.08.2017 02:50,5.80956,9.32802,6.46594
19.08.2017 03:00,10.8145,3.91573,12.2892
19.08.2017 03:10,1.28511,9.46397,10.8038
19.08.2017 03:20,2.48917,8.99981,8.68775
19.08.2017 03:30,11.2923,6.54294,10.1344
19.08.2017 03:40,3.284,8.98617,6.89017
19.08.2017 03:50,5.52987,5.10812,8.39705
19.08.2017 04:00,5.83974,9.17076,7.43181
19.08.2017 04:10,1.45304,9.12027,11.3813
19.08.2017 04:20,7.87394,6.09064,10.5958
19.08.2017 04:30,9.50223,9.25741,9.30565
19.08.2017 04:40,10.7918,8.9144,6.65927
19.08.2017 04:50,8.03591,4.10494,9.05266
19.08.2017 05:00,10.125,9.22911,11.4794
19.08.2017 05:10,1.64168,9.11847,9.57382
19.08.2017 05:20,7.8674,3.75362,9.04315
19.08.2017 05:30,3.20789,9.20098,10.5718
19.08.2017 05:40,6.65264,7.00525,10.541
19.08.2017 05:50,12.7446,15.7916,21.8226
19.08.2017 06:00,17.9586,9.69564,15.8569
19.08.2017 06:10,9.56694,4.28896,9.80646
19.08.2017 06:20,13.5211,11.0444,9.67372
19.08.2017 06:30,7.66228,9.66659,17.1572
19.08.2017 06:40,12.3116,11.1202,12.8952
19.08.2017 06:50,13.0287,11.6589,10.1504
19.08.2017 07:00,5.25523,10.9665,11.9102
